year,value,unit,breakdown_of_domestic_tourism,activity_type
2019,1662,million (£),Expenditure,Shopping
2016,469,million (£),Expenditure,Watch live sports
2014,892,million (£),Expenditure,Night out
2017,354,million (£),Expenditure,Attend personal event
2015,400,million (£),Expenditure,Watch live sports
2014,421,million (£),Expenditure,Watch live sports
2013,243,million (£),Expenditure,Watch live sports
2015,264,million (£),Expenditure,Leisure activity
2018,285,million (£),Expenditure,Leisure activity
2014,1536,million (£),Expenditure,Shopping
2018,265,million (£),Expenditure,Attend personal event
2016,261,million (£),Expenditure,Leisure activity
2017,421,million (£),Expenditure,Leisure activity
2014,469,million (£),Expenditure,Leisure activity
2019,476,million (£),Expenditure,Sports participation
2017,374,million (£),Expenditure,Sports participation
2015,392,million (£),Expenditure,Attend public event
2019,629,million (£),Expenditure,Attend public event
2014,311,million (£),Expenditure,Attend public event
2016,205,million (£),Expenditure,Attend public event
2017,394,million (£),Expenditure,Attend public event
2016,1892,million (£),Expenditure,Eating out
2014,1966,million (£),Expenditure,Eating out
2017,551,million (£),Expenditure,Watch live sports
2013,1675,million (£),Expenditure,Eating out
2019,551,million (£),Expenditure,Watch live sports
2013,228,million (£),Expenditure,Attend public event
2018,496,million (£),Expenditure,Watch live sports
2018,1538,million (£),Expenditure,Shopping
2016,273,million (£),Expenditure,Attend personal event
2017,1561,million (£),Expenditure,Shopping
2019,266,million (£),Expenditure,Attend personal event
2015,1033,million (£),Expenditure,Shopping
2014,71,million (£),Expenditure,Day out (spa)
2013,1512,million (£),Expenditure,Shopping
2014,223,million (£),Expenditure,Attend personal event
2016,826,million (£),Expenditure,Outdoor leisure activity
2016,1380,million (£),Expenditure,Shopping
2013,85,million (£),Expenditure,Attend personal event
2015,87,million (£),Expenditure,Day out (spa)
2013,147,million (£),Expenditure,Leisure activity
2015,142,million (£),Expenditure,Attend personal event
2018,893,million (£),Expenditure,Outdoor leisure activity
2019,1111,million (£),Expenditure,Night out
2019,1059,million (£),Expenditure,Outdoor leisure activity
2017,1276,million (£),Expenditure,Outdoor leisure activity
2018,1150,million (£),Expenditure,Night out
2019,507,million (£),Expenditure,Leisure activity
2013,840,million (£),Expenditure,Night out
2015,647,million (£),Expenditure,Outdoor leisure activity
2017,1298,million (£),Expenditure,Night out
2016,69,million (£),Expenditure,Day out (spa)
2013,699,million (£),Expenditure,Outdoor leisure activity
2014,571,million (£),Expenditure,Outdoor leisure activity
2016,973,million (£),Expenditure,Night out
2015,876,million (£),Expenditure,Night out
2013,414,million (£),Expenditure,Visitor attraction
2015,506,million (£),Expenditure,Day out
2015,345,million (£),Expenditure,Visitor attraction
2017,742,million (£),Expenditure,Visitor attraction
2018,396,million (£),Expenditure,Sports participation
2018,1010,million (£),Expenditure,Day out
2016,806,million (£),Expenditure,Day out
2018,87,million (£),Expenditure,Day out (spa)
2019,443,million (£),Expenditure,Visitor attraction
2013,474,million (£),Expenditure,Entertainment - cinema etc.
2017,252,million (£),Expenditure,Day out (spa)
2019,341,million (£),Expenditure,Day out (spa)
2018,467,million (£),Expenditure,Visitor attraction
2013,145,million (£),Expenditure,Day out (spa)
2014,599,million (£),Expenditure,Day trip - leisure
2017,1042,million (£),Expenditure,Day out
2013,312,million (£),Expenditure,Day trip - leisure
2015,269,million (£),Expenditure,Day trip - leisure
2018,362,million (£),Expenditure,Day trip - leisure
2013,528,million (£),Expenditure,Day out
2019,869,million (£),Expenditure,Day out
