year,value,activity_type,spend_unit
2019,1662,Shopping,million (£)
2016,469,Watch live sports,million (£)
2014,892,Night out,million (£)
2017,354,Attend personal event,million (£)
2015,400,Watch live sports,million (£)
2014,421,Watch live sports,million (£)
2013,243,Watch live sports,million (£)
2015,264,Leisure activity,million (£)
2018,285,Leisure activity,million (£)
2014,1536,Shopping,million (£)
2018,265,Attend personal event,million (£)
2016,261,Leisure activity,million (£)
2017,421,Leisure activity,million (£)
2014,469,Leisure activity,million (£)
2019,476,Sports participation,million (£)
2017,374,Sports participation,million (£)
2015,392,Attend public event,million (£)
2019,629,Attend public event,million (£)
2014,311,Attend public event,million (£)
2016,205,Attend public event,million (£)
2017,394,Attend public event,million (£)
2016,1892,Eating out,million (£)
2014,1966,Eating out,million (£)
2017,551,Watch live sports,million (£)
2013,1675,Eating out,million (£)
2019,551,Watch live sports,million (£)
2013,228,Attend public event,million (£)
2018,496,Watch live sports,million (£)
2018,1538,Shopping,million (£)
2016,273,Attend personal event,million (£)
2017,1561,Shopping,million (£)
2019,266,Attend personal event,million (£)
2015,1033,Shopping,million (£)
2014,71,Day out (spa),million (£)
2013,1512,Shopping,million (£)
2014,223,Attend personal event,million (£)
2016,826,Outdoor leisure activity,million (£)
2016,1380,Shopping,million (£)
2013,85,Attend personal event,million (£)
2015,87,Day out (spa),million (£)
2013,147,Leisure activity,million (£)
2015,142,Attend personal event,million (£)
2018,893,Outdoor leisure activity,million (£)
2019,1111,Night out,million (£)
2019,1059,Outdoor leisure activity,million (£)
2017,1276,Outdoor leisure activity,million (£)
2018,1150,Night out,million (£)
2019,507,Leisure activity,million (£)
2013,840,Night out,million (£)
2015,647,Outdoor leisure activity,million (£)
2017,1298,Night out,million (£)
2016,69,Day out (spa),million (£)
2013,699,Outdoor leisure activity,million (£)
2014,571,Outdoor leisure activity,million (£)
2016,973,Night out,million (£)
2015,876,Night out,million (£)
2013,414,Visitor attraction,million (£)
2015,506,Day out,million (£)
2015,345,Visitor attraction,million (£)
2017,742,Visitor attraction,million (£)
2018,396,Sports participation,million (£)
2018,1010,Day out,million (£)
2016,806,Day out,million (£)
2018,87,Day out (spa),million (£)
2019,443,Visitor attraction,million (£)
2013,474,Entertainment - cinema,million (£)
2017,252,Day out (spa),million (£)
2019,341,Day out (spa),million (£)
2018,467,Visitor attraction,million (£)
2013,145,Day out (spa),million (£)
2014,599,Day trip - leisure,million (£)
2017,1042,Day out,million (£)
2013,312,Day trip - leisure,million (£)
2015,269,Day trip - leisure,million (£)
2018,362,Day trip - leisure,million (£)
2013,528,Day out,million (£)
2019,869,Day out,million (£)
2014,317,Sports participation,million (£)
2016,289,Sports participation,million (£)
2014,715,Day out,million (£)
2015,215,Sports participation,million (£)
2019,406,Day trip - leisure,million (£)
2017,443,Day trip - leisure,million (£)
2013,143,Sports participation,million (£)
2017,5995,Other,million (£)
2019,2078,Eating out,million (£)
2019,5777,Other,million (£)
2015,3922,Other,million (£)
2013,1065,Visit family/friends,million (£)
2015,1631,Eating out,million (£)
2017,2208,Eating out,million (£)
2016,4916,Other,million (£)
2013,4647,Other,million (£)
2018,191,Attend public event,million (£)
2018,5474,Other,million (£)
2017,1818,Visit family/friends,million (£)
2014,5020,Other,million (£)
2019,1841,Visit family/friends,million (£)
2014,462,Visitor attraction,million (£)
2014,469,Entertainment - cinema,million (£)
2018,577,Entertainment - cinema,million (£)
2016,378,Visitor attraction,million (£)
2016,330,Day trip - leisure,million (£)
2015,593,Entertainment - cinema,million (£)
2019,620,Entertainment - cinema,million (£)
2016,1158,Visit family/friends,million (£)
2015,1186,Visit family/friends,million (£)
2018,1959,Eating out,million (£)
2014,1376,Visit family/friends,million (£)
2017,903,Entertainment - cinema,million (£)
2016,604,Entertainment - cinema,million (£)
2018,1698,Visit family/friends,million (£)
