years,value,spend_unit,visit_night_unit,breakdown_of_domestic_tourism,region_of_residence
2016-2018,8,million (£),NA,Expenditure,England
2015-2017,140,NA,Thousand,Nights,All of GB
2015-2017,8,million (£),NA,Expenditure,England
2017-2019,76,NA,Thousand,Nights,England
2009-2011,68,NA,Thousand,Visits,Scotland
2016-2018,59,NA,Thousand,Nights,Scotland
2016-2018,4,million (£),NA,Expenditure,Scotland
2013-2015,32,NA,Thousand,Visits,Scotland
2012-2014,6,million (£),NA,Expenditure,England
2015-2017,28,NA,Thousand,Visits,England
2010-2012,27,NA,Thousand,Visits,England
2009-2011,3,million (£),NA,Expenditure,England
2010-2012,13,million (£),NA,Expenditure,Scotland
2012-2014,67,NA,Thousand,Visits,All of GB
2010-2012,183,NA,Thousand,Nights,Scotland
2011-2013,16,million (£),NA,Expenditure,All of GB
2013-2015,49,NA,Thousand,Nights,Scotland
2011-2013,44,NA,Thousand,Visits,Scotland
2014-2016,9,million (£),NA,Expenditure,England
2017-2019,70,NA,Thousand,Visits,All of GB
2016-2018,144,NA,Thousand,Nights,All of GB
2016-2018,28,NA,Thousand,Visits,England
2013-2015,61,NA,Thousand,Visits,All of GB
2015-2017,58,NA,Thousand,Nights,Scotland
2011-2013,29,NA,Thousand,Visits,England
2016-2018,28,NA,Thousand,Visits,Scotland
2017-2019,4,million (£),NA,Expenditure,Scotland
2015-2017,64,NA,Thousand,Visits,All of GB
2011-2013,4,million (£),NA,Expenditure,England
2013-2015,4,million (£),NA,Expenditure,England
2014-2016,28,NA,Thousand,Visits,Scotland
2014-2016,128,NA,Thousand,Nights,All of GB
2017-2019,98,NA,Thousand,Nights,Scotland
2009-2011,153,NA,Thousand,Nights,Scotland
2017-2019,22,NA,Thousand,Visits,England
2013-2015,64,NA,Thousand,Nights,England
2012-2014,2,million (£),NA,Expenditure,Scotland
2009-2011,96,NA,Thousand,Visits,All of GB
2011-2013,256,NA,Thousand,Nights,All of GB
2012-2014,90,NA,Thousand,Nights,England
2009-2011,318,NA,Thousand,Nights,All of GB
2015-2017,4,million (£),NA,Expenditure,Scotland
2014-2016,64,NA,Thousand,Visits,All of GB
2009-2011,110,NA,Thousand,Nights,England
2010-2012,92,NA,Thousand,Visits,All of GB
2010-2012,59,NA,Thousand,Visits,Scotland
2010-2012,19,million (£),NA,Expenditure,All of GB
2011-2013,81,NA,Thousand,Visits,All of GB
2012-2014,26,NA,Thousand,Visits,Scotland
2017-2019,11,million (£),NA,Expenditure,England
2013-2015,27,NA,Thousand,Visits,England
2013-2015,118,NA,Thousand,Nights,All of GB
2016-2018,12,million (£),NA,Expenditure,All of GB
2015-2017,36,NA,Thousand,Visits,Scotland
2014-2016,40,NA,Thousand,Nights,Scotland
2013-2015,3,million (£),NA,Expenditure,Scotland
2016-2018,56,NA,Thousand,Visits,All of GB
2010-2012,84,NA,Thousand,Nights,England
2015-2017,82,NA,Thousand,Nights,England
2010-2012,4,million (£),NA,Expenditure,England
2012-2014,10,million (£),NA,Expenditure,All of GB
2011-2013,81,NA,Thousand,Nights,England
2011-2013,161,NA,Thousand,Nights,Scotland
2010-2012,273,NA,Thousand,Nights,All of GB
2009-2011,24,NA,Thousand,Visits,England
2012-2014,91,NA,Thousand,Nights,Scotland
2013-2015,8,million (£),NA,Expenditure,All of GB
2009-2011,14,million (£),NA,Expenditure,Scotland
2014-2016,36,NA,Thousand,Visits,England
2017-2019,15,million (£),NA,Expenditure,All of GB
2011-2013,9,million (£),NA,Expenditure,Scotland
2015-2017,13,million (£),NA,Expenditure,All of GB
2017-2019,48,NA,Thousand,Visits,Scotland
2017-2019,174,NA,Thousand,Nights,All of GB
2014-2016,91,NA,Thousand,Nights,England
2012-2014,32,NA,Thousand,Visits,England
2014-2016,12,million (£),NA,Expenditure,All of GB
2009-2011,19,million (£),NA,Expenditure,All of GB
2016-2018,84,NA,Thousand,Nights,England
2014-2016,3,million (£),NA,Expenditure,Scotland
2012-2014,192,NA,Thousand,Nights,All of GB
2016-2018,197,NA,Thousand,Nights,All of GB
2015-2017,115,NA,Thousand,Nights,England
2015-2017,48,NA,Thousand,Visits,England
2015-2017,2,million (£),NA,Expenditure,Scotland
2013-2015,135,NA,Thousand,Visits,All of GB
2010-2012,51,NA,Thousand,Visits,England
2010-2012,14,million (£),NA,Expenditure,All of GB
2010-2012,3,million (£),NA,Expenditure,Scotland
2012-2014,66,NA,Thousand,Visits,Scotland
2017-2019,9,million (£),NA,Expenditure,England
2009-2011,56,NA,Thousand,Visits,England
2013-2015,291,NA,Thousand,Nights,All of GB
2011-2013,54,NA,Thousand,Visits,Scotland
2011-2013,104,NA,Thousand,Nights,Scotland
2011-2013,13,million (£),NA,Expenditure,All of GB
2016-2018,62,NA,Thousand,Visits,England
2013-2015,60,NA,Thousand,Visits,England
2017-2019,39,NA,Thousand,Visits,Scotland
2015-2017,7,million (£),NA,Expenditure,England
2011-2013,4,million (£),NA,Expenditure,Scotland
2014-2016,140,NA,Thousand,Visits,All of GB
2017-2019,130,NA,Thousand,Nights,England
2009-2011,98,NA,Thousand,Visits,Scotland
2012-2014,143,NA,Thousand,Visits,All of GB
2009-2011,156,NA,Thousand,Visits,All of GB
2012-2014,7,million (£),NA,Expenditure,England
2013-2015,243,NA,Thousand,Nights,England
2009-2011,280,NA,Thousand,Nights,England
2009-2011,5,million (£),NA,Expenditure,Scotland
2012-2014,271,NA,Thousand,Nights,England
2016-2018,86,NA,Thousand,Visits,All of GB
2013-2015,15,million (£),NA,Expenditure,All of GB
2011-2013,124,NA,Thousand,Nights,England
2012-2014,330,NA,Thousand,Nights,All of GB
2012-2014,7,million (£),NA,Expenditure,Scotland
2015-2017,27,NA,Thousand,Visits,Scotland
2011-2013,228,NA,Thousand,Nights,All of GB
2013-2015,7,million (£),NA,Expenditure,Scotland
2014-2016,313,NA,Thousand,Nights,All of GB
2014-2016,88,NA,Thousand,Nights,Scotland
2015-2017,77,NA,Thousand,Visits,All of GB
2016-2018,53,NA,Thousand,Nights,Scotland
2010-2012,124,NA,Thousand,Visits,All of GB
2010-2012,72,NA,Thousand,Visits,Scotland
2011-2013,103,NA,Thousand,Visits,All of GB
2013-2015,66,NA,Thousand,Visits,Scotland
2016-2018,12,million (£),NA,Expenditure,All of GB
2010-2012,10,million (£),NA,Expenditure,England
2009-2011,476,NA,Thousand,Nights,All of GB
2010-2012,282,NA,Thousand,Nights,All of GB
2009-2011,186,NA,Thousand,Nights,Scotland
2012-2014,15,million (£),NA,Expenditure,All of GB
2011-2013,49,NA,Thousand,Visits,England
2009-2011,9,million (£),NA,Expenditure,England
2015-2017,39,NA,Thousand,Nights,Scotland
2011-2013,9,million (£),NA,Expenditure,England
2016-2018,144,NA,Thousand,Nights,England
2017-2019,88,NA,Thousand,Nights,Scotland
2017-2019,12,million (£),NA,Expenditure,All of GB
2017-2019,56,NA,Thousand,Visits,England
2014-2016,8,million (£),NA,Expenditure,England
2012-2014,114,NA,Thousand,Nights,Scotland
2014-2016,6,million (£),NA,Expenditure,Scotland
2017-2019,3,million (£),NA,Expenditure,Scotland
2012-2014,71,NA,Thousand,Visits,England
2015-2017,157,NA,Thousand,Nights,All of GB
2016-2018,3,million (£),NA,Expenditure,Scotland
2013-2015,7,million (£),NA,Expenditure,England
2010-2012,148,NA,Thousand,Nights,Scotland
2016-2018,24,NA,Thousand,Visits,Scotland
2014-2016,59,NA,Thousand,Visits,Scotland
2010-2012,124,NA,Thousand,Nights,England
2017-2019,95,NA,Thousand,Visits,All of GB
2016-2018,9,million (£),NA,Expenditure,England
2014-2016,72,NA,Thousand,Visits,England
2014-2016,16,million (£),NA,Expenditure,All of GB
2009-2011,14,million (£),NA,Expenditure,All of GB
2013-2015,100,NA,Thousand,Nights,Scotland
2014-2016,278,NA,Thousand,Nights,England
2015-2017,10,million (£),NA,Expenditure,All of GB
2017-2019,218,NA,Thousand,Nights,All of GB
2012-2014,6441,NA,Thousand,Visits,Scotland
2010-2012,18949,NA,Thousand,Nights,Scotland
2010-2012,1675,million (£),NA,Expenditure,England
2010-2012,12736,NA,Thousand,Visits,All of GB
2009-2011,5906,NA,Thousand,Visits,England
2011-2013,18188,NA,Thousand,Nights,Scotland
2017-2019,41937,NA,Thousand,Nights,All of GB
2014-2016,40607,NA,Thousand,Nights,All of GB
2012-2014,22965,NA,Thousand,Nights,England
2010-2012,5921,NA,Thousand,Visits,England
2014-2016,1126,million (£),NA,Expenditure,Scotland
2017-2019,12426,NA,Thousand,Visits,All of GB
2013-2015,17977,NA,Thousand,Nights,Scotland
2016-2018,39424,NA,Thousand,Nights,All of GB
2017-2019,17996,NA,Thousand,Nights,Scotland
2012-2014,18464,NA,Thousand,Nights,Scotland
2011-2013,12745,NA,Thousand,Visits,All of GB
2014-2016,12007,NA,Thousand,Visits,All of GB
2010-2012,6593,NA,Thousand,Visits,Scotland
2013-2015,12210,NA,Thousand,Visits,All of GB
2009-2011,12499,NA,Thousand,Visits,All of GB
2014-2016,22698,NA,Thousand,Nights,England
2016-2018,6062,NA,Thousand,Visits,England
2016-2018,22836,NA,Thousand,Nights,England
2015-2017,3061,million (£),NA,Expenditure,All of GB
2015-2017,15759,NA,Thousand,Nights,Scotland
2011-2013,1730,million (£),NA,Expenditure,England
2010-2012,24112,NA,Thousand,Nights,England
2009-2011,2698,million (£),NA,Expenditure,All of GB
2012-2014,42551,NA,Thousand,Nights,All of GB
2013-2015,22957,NA,Thousand,Nights,England
2011-2013,43876,NA,Thousand,Nights,All of GB
2012-2014,1146,million (£),NA,Expenditure,Scotland
2013-2015,1163,million (£),NA,Expenditure,Scotland
2011-2013,24459,NA,Thousand,Nights,England
2012-2014,5742,NA,Thousand,Visits,England
2016-2018,5632,NA,Thousand,Visits,Scotland
2016-2018,15575,NA,Thousand,Nights,Scotland
2009-2011,25103,NA,Thousand,Nights,England
2017-2019,2989,million (£),NA,Expenditure,All of GB
2011-2013,5943,NA,Thousand,Visits,England
2009-2011,1644,million (£),NA,Expenditure,England
2015-2017,5650,NA,Thousand,Visits,Scotland
2016-2018,1040,million (£),NA,Expenditure,Scotland
2014-2016,3016,million (£),NA,Expenditure,All of GB
2013-2015,1777,million (£),NA,Expenditure,England
2009-2011,44671,NA,Thousand,Nights,All of GB
2009-2011,18434,NA,Thousand,Nights,Scotland
2017-2019,5920,NA,Thousand,Visits,England
2017-2019,1163,million (£),NA,Expenditure,Scotland
2015-2017,1928,million (£),NA,Expenditure,England
2010-2012,1043,million (£),NA,Expenditure,Scotland
2017-2019,23002,NA,Thousand,Nights,England
2011-2013,6580,NA,Thousand,Visits,Scotland
2009-2011,970,million (£),NA,Expenditure,Scotland
2012-2014,12464,NA,Thousand,Visits,All of GB
2010-2012,2809,million (£),NA,Expenditure,All of GB
2014-2016,1823,million (£),NA,Expenditure,England
2013-2015,3013,million (£),NA,Expenditure,All of GB
2011-2013,1097,million (£),NA,Expenditure,Scotland
2015-2017,6141,NA,Thousand,Visits,England
2016-2018,11943,NA,Thousand,Visits,All of GB
2009-2011,6378,NA,Thousand,Visits,Scotland
2015-2017,12004,NA,Thousand,Visits,All of GB
2017-2019,1767,million (£),NA,Expenditure,England
2016-2018,2888,million (£),NA,Expenditure,All of GB
2013-2015,5721,NA,Thousand,Visits,England
2015-2017,39759,NA,Thousand,Nights,All of GB
2014-2016,5787,NA,Thousand,Visits,England
2012-2014,1649,million (£),NA,Expenditure,England
2011-2013,2933,million (£),NA,Expenditure,All of GB
2014-2016,5940,NA,Thousand,Visits,Scotland
2013-2015,41890,NA,Thousand,Nights,All of GB
2012-2014,2884,million (£),NA,Expenditure,All of GB
2016-2018,1788,million (£),NA,Expenditure,England
2013-2015,6227,NA,Thousand,Visits,Scotland
2014-2016,16936,NA,Thousand,Nights,Scotland
2015-2017,23109,NA,Thousand,Nights,England
2015-2017,1079,million (£),NA,Expenditure,Scotland
2017-2019,6284,NA,Thousand,Visits,Scotland
2010-2012,44181,NA,Thousand,Nights,All of GB
2009-2011,23,NA,Thousand,Visits,Scotland
2015-2017,21,NA,Thousand,Visits,England
2013-2015,21,NA,Thousand,Visits,Scotland
2016-2018,47,NA,Thousand,Nights,All of GB
2009-2011,7,million (£),NA,Expenditure,All of GB
